c1,lorry,town,nect_load,cord_load,nect_unload,cord_unload,c8,c9,activity,qty,remarks,c13
,,,,,,,,,,,,
,Team,,,Remarks,,,,,,,,
,Period,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Distribution,,,,,,,,Production in Europe,,,
,,,,,,,,,,,,
,Lorry,Town,Loading,,Unloading,,,,Arnhem factory,,,
,,,Nectar,Cordial,Nectar,Cordial,,,,,,
1,Lorry 1,Arnhem factory,,,,,,1,Nectar packaging,7,x 30 pallets,
2,Lorry 2,Vesoul factory,,,,,,2,Nectar production,5,x 1 vat,
3,Lorry 3,Paris,,,,,,3,Hiring,,x 1 person,
4,Lorry 3,Arnhem factory,24,,,,,4,Laying-off,,x 1 person,
5,Lorry 3,Madrid,,,24,,,5,Pack Purchasing,5,x 1 batch,
6,Lorry 3,Vesoul factory,,24,,,,6,Puree Purchasing,,x 1 bin,
7,Lorry 3,Madrid,,,,24,,7,Concentrate Purchasing for Arnhem,0,x 1 bin,
8,Lorry 2,Vesoul factory,,24,,,,,,,,
9,Lorry 2,Paris,,,,24,,,Vesoul factory,,,
10,Lorry 2,Arnhem factory,9,,,,,,,,,
11,Lorry 2,Paris,,,9,,,1,Cordial packaging,4,x 20 pallets,
12,Lorry 2,Vesoul factory,,37,,,,2,Cordial production,0,x 1 vat,
13,Lorry 2,Warsaw,,,,15,,3,Hiring,,x 1 person,
14,Lorry 2,Budapest,,,,18,,4,Laying-off,,x 1 person,
15,Lorry 2,Bucharest,31,,,4,,5,Bottle Purchasing,4,x 1 batch,
16,Lorry 2,Warsaw,,,14,,,6,Sugar Purchasing,4,x 1 tonne,
17,Lorry 2,Paris,,,17,,,7,Concentrate Purchasing for Vesoul,,x 1 bin,
18,Lorry 2,Vesoul factory,,29,,,,,CCFFCC,,,
19,Lorry 2,Rome,,,,19,,,,,,
20,Lorry 2,Milan,,,,10,,,Intercontinental transport,,,
21,Lorry 2,Arnhem factory,43,,,,,,,,,
22,Lorry 2,Rome,,,29,,,1,Puree transport to Arnhem,20,x 1 bin,
23,Lorry 2,Milan,,,14,,,2,Concentrate transport to Arnhem,0,x 1 bin,
24,,,,,,,,3,Concentrate transport to Vesoul,10,x 1 bin,
25,,,,,,,,,FFFF99,,,
26,,,,,,,,,,,,
27,,,,,,,,,Production in New-Zealand,,,
28,,,,,,,,,,,,
29,,,,,,,,,Auckland factory,,,
30,,,,,,,,,,,,
31,,,,,,,,1,Purchasing and pression of kiwis,10,"x (4 bins of puree 
   + 1 bin of concentrate)",
32,,,,,,,,2,Hiring,,x 1 person,
33,,,,,,,,3,Laying-off,,x 1 person,
34,,,,,,,,4,Puree sale,20,x 1 bin,
35,,,,,,,,5,Concentrate sale,,x 1 bin,
36,,,,,,,,,FF99CC,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,Lorry 1,Arnhem factory,,,,,,,,,,
59,Lorry 2,Vesoul factory,,,,,,,,,,
60,Lorry 3,Paris,,,,,,,,,,
,CCFFFF,,,,,,,,,,,
